prop number, macro lines, expanded proof lines, expanded and pruned proof lines
1, 6, 13, 8
2, 3, 15, 4
3, 5, 9, 5
4, 3, 3, 3
5, 3, 3, 3
6, 5, 9, 8
7, 4, 9, 5
8, 3, 8, 5
9, 4, 22, 4
10, 3, 7, 5
11, 3, 7, 5
13, 3, 3, 3
15, 6, 19, 5
16, 3, 3, 3
17, 3, 3, 3
18, 3, 8, 5
19, 3, 13, 9
20, 5, 8, 6
21, 3, 8, 5
22, 3, 24, 17
23, 3, 13, 9
24, 3, 13, 9
25, 3, 13, 9
26, 3, 3, 5
27, 5, 23, 7
28, 3, 8, 5
29, 5, 12, 5
30, 6, 12, 15
31, 3, 24, -1
32, 3, 13, 9
33, 3, 13, 9
34, 3, 13, 9
35, 5, 7, 5
36, 5, 7, 5
37, 5, 12, 5
38, 5, 12, 5
39, 7, 13, 7
40, 3, 3, 3
42, 3, 3, 3
44, 3, 3, 3
45, 3, 3, 3
46, 3, 3, 3
47, 3, 3, 8
48, 3, 7, 5
49, 7, 9, 19
50, 3, 7, 7
51, 3, 8, 5
52, 5, 181, 6
53, 5, 26, 6
54, 5, 26, 5
55, 3, 15, 9
56, 6, 24, 10
57, 6, 24, 18
58, 6, 26, 19
59, 5, 12, 5
60, 3, 26, 10
61, 3, 14, 6
62, 3, 8, 5
63, 5, 14, 9
64, 3, 8, 5
67, 5, 10, 7
68, 7, 32, 7
69, 5, 67, 5
70, 6, 16, 12
71, 7, 254, 14
72, 16, 27, -1
75, 3, 27, 6
76, 5, 30, 7
77, 9, 96, -1
78, 5, 9, 6
79, 5, 9, 5
80, 5, 15, 9
81, 10, 29, -1
82, 6, 26, -1
83, 5, 19, 9
84, 5, 19, 10
85, 7, 21, 12
86, 11, 23, -1
